"post_id","caption","comments_count","like_count","media_type","timestamp","username","owner_id"
"17846357308323337",".
다들 크리스마스 즐겁게 보냈네
영문씨에게 도촬 사진 감사^^
.
#첫줄 #안녕#선물 #셀스타그램 #크리스마스 #사진
#데일리 #일상스타그램 #daily #dailygram #좋아요 #인친 #얼스타그램#서울#부산#해운대#서면#친구 #좋아요반사#like#you #me#follow4follow#follow #korea #gift #myself#photo#selstargrem#friends",2,51,FEED,"2018-12-26T04:40:34+0000",vevi_d_live,"17841401484258776"
"17846386150081047",#goodnight #goodday #tired #spring,0,22,FEED,"2016-03-31T14:14:58+0000",vevi_d_live,"17841401484258776"
"17846837414686170",".
sanbu_soundbar 
.
.
#첫줄 #안녕 #첫줄안녕 #일상#selfie#일상그램  #selflove#셀피그램 #selstagram #일상스타그램 #dailyfeedx #df #다이어트 #picture  #부산 #서울 #헤어스타일 #데일리그램 #photography #daily #dailygram #좋반 #좋아요 #주말 #followforfollowback #fff #fff😊ff💋ff👌ff💕4f❤️🔝🔫💣44follow４followforfollow４f4frs4likeforlikeforfollow4likeforlikesback44likes4me4lramahhits #like #likeforlikes",1,60,FEED,"2021-12-16T12:38:01+0000",vevi_d_live,"17841401484258776"
"17846973620857339",".
결국 극에 달한 스트레스 땜 시로🤔
저 벽지는 살릴 길이 없어서 뜯어 버리고
핸디코트 미친 듯이 바름.. 😇
와..핸디코트도 모잘라고 피곤하고 일이 커져 버렸는걸?!
그나저나 카톡 복구는 뭐 물 건너 간 거?😅😅
.
.
#첫줄 #바이크스타그램 #바이크타는여자  #바이크라이프 #여자라이더 #여라 #여성라이더 #biker  #dailyfeedx #dailygram #작업실 #부산  #curvy #서면 #작업실인테리어 #디자인 #interiordesign #셀프인테리어 #셀프벽지페인트칠 #페인트 #painting #wall #selfie #paint #selfinterior #몸스타그램 
#다이어트 #타투 #tattoo #workspace",38,363,FEED,"2022-10-15T14:27:08+0000",vevi_d_live,"17841401484258776"
"17847074597180677",".
살이 다시 찌고 있어 ㅜㅜ 
코로나좀 제발...
.
.
#첫줄 #안녕 #첫줄안녕 #다이어트 #직장인 #직장인스타그램  #유지어터 #셀스타그램 #셀피 #셀카 #몸스타그램 #눈바디 #좋아요반사 #좋반 #옷스타그램 #selfie  #셀카고자 #서울 #부산 #selstagram #selca #selflove #busan #seoul 
#감정 #노동#코로나 #개 #싫어",5,112,FEED,"2020-06-16T02:10:45+0000",vevi_d_live,"17841401484258776"
"17847241754903962",".
나이를 먹을 수록 좀 더 단단한 사람이
되기를 바랬고 확실히 정신이 단단해 진 게
느껴지는 요즘, 정신은 성숙해지고
신체는 어려지길 바라는 나
이번 해에는 해낼 수 있겠죠?👐🤭
.
.
#일상 #생각 #모델 #촬영 #직장인 #포즈 #금발 #레드립 #메이크업 #청바지 #부산 #스튜디오 #프로필사진 #프로필촬영 #daily #think #model #photogram #pose #blond #redrip #makeup #jeans #busan #studio #profile #selflove #bodypositive",13,401,FEED,"2023-01-12T02:43:41+0000",vevi_d_live,"17841401484258776"
"17847451705164353","우성오빠에게 전해 졌는지 모르겠지만 잘봤어요!!#롯데시네마 #센텀 #더킹 #무대인사
#정우성 #그림 #jungwoosung #busan #centum #city  #thinking #movie #drawing #love",0,29,FEED,"2017-01-22T09:18:32+0000",vevi_d_live,"17841401484258776"
"17847521498630048",".
사람보단 고영희
혹시나 했지만 역시나.
.
#첫줄 #안녕 #첫줄안녕 #일상 #일상스타그램 #dailyfeedx #df #dailylook  #picture  #부산 #서울 #데일리룩 #데일리그램 #photography #daily #dailygram #좋반 #좋아요 #직장인 #직장인스타그램 #냥스타그램 #고양이그램 #집사스타그램 #catloverxoxo #catsofinstagram #followforfollowback #fff #fff😊ff💋ff👌ff💕4f❤️🔝🔫💣44follow４followforfollow４f4frs4likeforlikeforfollow4likeforlikesback44likes4me4lramahhits #like #likeforlikes",1,82,FEED,"2021-08-24T04:29:08+0000",vevi_d_live,"17841401484258776"
"17847543116799150",".
광안리 하늘이 다했엉!!
떱팔이 핸들 털림 수리하고
광안리에서 
그리다만과 함께 시간 보내기☺️
greedaman
.
.
#classicbike #kawasaki #w800 
#kawasakiw800 #motorcycle #rider#원동기 #바이크스타그램 #바이크타는여자 #바이크 #오토바이 #바이크라이프 #라이더 #라이딩  #여자라이더 #여라 #여성라이더 #바린이 #biker #bike #dailyfeedx #dailygram #가와사키 #가와사키w800 #부산 #광안리
#서울 #바다 #그리다만",14,257,FEED,"2022-07-15T15:30:04+0000",vevi_d_live,"17841401484258776"
"17847590126899348",".
몸이 그림판이양😋
잘 아물고 잘 발색 올라오는 중😝😝
kongjoo_art 
kimvaksa 
.
#classicbike #kawasaki 
#kawasakiw800 #motorcycle #rider#바이크스타그램 #바이크타는여자 #바이크 #오토바이 #바이크라이프 #라이더 #여자라이더 #여라 #여성라이더 #바린이 #biker #bike  #가와사키  #부산 #타투 #서울#바이크라이프 #girl #클래식바이크#girlsbiker #몸스타그램 #bikelife #tattoo #섹시 #sexy",26,337,FEED,"2022-12-23T11:47:09+0000",vevi_d_live,"17841401484258776"
"17847808117144753","빛처럼 따스할 줄 알았고
영원같았는데
노을 같이 영원하지 않고
연기처럼 사라지더라 아련하게.",4,24,FEED,"2017-01-22T18:36:31+0000",vevi_d_live,"17841401484258776"
"17847892036150845",#정우성 #더킹 #부산 #센텀 #무대인사 #jungwoosung #busan #centum #city #movie #theking,0,18,FEED,"2017-01-22T09:23:19+0000",vevi_d_live,"17841401484258776"
"17847914476079516",#오늘 #날씨 #맑음 #짱 #좋음 #사랑 #히 #lovelyday #goodday #today #sunny #sunshine #really #nice !!!,1,23,FEED,"2016-04-29T02:03:27+0000",vevi_d_live,"17841401484258776"
"17847920998034961",#autocycle #bike #busan #haewondae #new #오토바이 #해운대 #부산 #새거 #애마 #사랑해,0,35,FEED,"2015-11-25T08:43:41+0000",vevi_d_live,"17841401484258776"
"17847935890056578","When I had Halloween day
#halloweencostume #halloween #halloweenmakeup #할로윈 #할리퀸 #할리퀸메이크업 #마고로비 #sucidesquad #halequeen #haleyquinn",0,37,FEED,"2015-11-25T19:29:39+0000",vevi_d_live,"17841401484258776"
"17848136506062911",Have a nice day #busan #niceweather #cold #becareful,0,24,FEED,"2015-11-27T03:01:38+0000",vevi_d_live,"17841401484258776"
"17848242226168994","#daily #food #in #busan #kyungsungdae #french #bistro #really #tastey#great #mood 
#daily #present
#데일리그램 #푸드스타그램 #부산 #경대 #부경대 #맛집 #프랜치 #비스트로 #혼밥 #분위기 #좋다 #힐링 #일상의  #선물",0,33,FEED,"2017-02-03T04:44:44+0000",vevi_d_live,"17841401484258776"
"17848249153394291",".
적
Red
Warning
.
#첫줄 #안녕 #남친 #금요일 #셀스타그램 
#데일리 #셀카그램 #daily #dailygram #좋아요 #인친 #럽스타그램#서울#부산#해운대 #서면 #사진 #좋아요반사#like #you #bf #follow4follow #f4f #korea  #myself#photo#selstargrem#dailyfeedx",0,78,FEED,"2019-04-07T12:34:30+0000",vevi_d_live,"17841401484258776"
"17848540330148700",#청사포 #부산 #바다 #날씨좋다 #해운대 #busan #chungsapo #sea #sunny #day #haeundae,2,35,FEED,"2017-01-31T05:40:49+0000",vevi_d_live,"17841401484258776"
"17851855309185953",#서울 #압구정 #하이볼가든 #진저 #하이볼 #맛난다 #캬 #탄산 #음주 #술 #오늘은 #불금 #friday #drink #daily #dailygram #higball #garden,7,37,FEED,"2017-03-24T08:58:53+0000",vevi_d_live,"17841401484258776"
"17848560649282372",".
여행의 추억거리
다하지 못한 이야기
그리고 나에게 특별한 당신

旅の思い出として尽きなかった話,
そして私に特別なあなた。
.
.
#데일리 #일상#일상스타그램 #daily #dailygram #좋아요 #럽스타그램#여행스타그램 #셀카#인친 #얼스타그램#서울#부산#여자#일본#후쿠오카 #좋아요반사#여행 #like #japan #follow#me  #selfie#me#myself#photo#travel #selstargrem#dailyfeedx#love#fukuoka",2,86,FEED,"2018-08-07T04:31:58+0000",vevi_d_live,"17841401484258776"
"17848694512163265",#cat #catstagram #baby#my #pet #lovely #momo #daily #냥스타그램 #고양이 #캣 #내애기 #모모 #사랑해 #귤,2,36,FEED,"2017-02-09T08:41:34+0000",vevi_d_live,"17841401484258776"
"17848912433550149",".
드디어 주말 
순식간에 지나가겠지????
.
#첫줄 #안녕 #첫줄안녕 #일상#selfie#일상그램  #selflove#셀피그램 #selstagram #일상스타그램 #dailyfeedx #df #dailylook  #picture  #부산 #서울 #데일리룩 #데일리그램 #photography #daily #dailygram #좋반 #좋아요  #주말 #holiday #followforfollowback #fff #fff😊ff💋ff👌ff💕4f❤️🔝🔫💣44follow４followforfollow４f4frs4likeforlikeforfollow4likeforlikesback44likes4me4lramahhits #like #likeforlikes",4,88,FEED,"2021-04-03T03:14:57+0000",vevi_d_live,"17841401484258776"
"17849022334429410",".
졸귀탱
모모 토모♡
.
#첫줄 #안녕 #냥 #셀카그램 #반려동물 #펫스타그램 #고양이그램 #캣스타그램#사지마세요입양하세요  #dailyfeedx #f4f #df #photo  #좋아요반사 #코숏 #냥이 #집사그램 #소통 #cats_of_instagram
#my #cats
#catsofinstagram #cats_of_world
#catlover",3,98,FEED,"2019-05-09T10:45:42+0000",vevi_d_live,"17841401484258776"
"17849108761674399",".
어제 생일 축하해주셔서
감사해여♡♡♡♡♡
헤헤
.
#첫줄 #안녕 #instamoment #instamood
#데일리 #셀카그램 #daily #일상 #좋아요테러 #인친 #직장인 #직장인스타그램 #terminator #selflove #셀피그램 #부산#서울 #좋아요반사#like#f4f #selfiegram #fff#follow4follow#follow #selfies #myself#photo #cosplay",10,74,FEED,"2019-10-25T02:58:24+0000",vevi_d_live,"17841401484258776"
"17849136980042099",".
눈도 시뻘겋고 다이어트는 물건너...
.
#첫줄 #안녕 #첫줄안녕 #다이어트 #직장인 #직장인스타그램  #유지어터 #코로나19 #코로나 #조심 #working #평일 #피곤  #셀스타그램 #셀피 #셀카 #몸스타그램 #눈바디 #좋아요반사 #좋반 #옷스타그램 #selfie  #셀카고자 #서울 #부산 #selstagram #selca #selflove #busan #seoul",5,109,FEED,"2020-04-29T05:56:01+0000",vevi_d_live,"17841401484258776"
"17849737595990908",".
바쁘고 스트레스임
내일은 스트레스 풀어야지
기분이가 안좋아
방송전에 커피 일단 한 사바리
.
.
coffeesugamo_in_seomyun 
#카페 #서면 #서면카페 #사이폰커피 #특이하네 #직장인 #스트레스 #금요일 #인데 #난일해 #우울해",14,631,FEED,"2023-06-09T09:45:22+0000",vevi_d_live,"17841401484258776"
"17849763625023304",#머리 #헤어스타일 #일하기싫다 #쉬는시간 #hair #stlye #breaktime,1,14,FEED,"2015-11-30T11:50:58+0000",vevi_d_live,"17841401484258776"
"17849898286156268",#뭐야 #이거 #개 #존잘 #미친 #데일리 #셀카 #인생 #잘못태어남ㅋㅋㅋㅋ #fff #omg #pitu #really #handsome #daily #selfie #funny #fun,1,46,FEED,"2017-02-20T13:47:51+0000",vevi_d_live,"17841401484258776"
